Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
1190,0,260000,1.0,55.0,0,0.0,1.0,25.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,2.0
9800,0,370000,2.0,82.0,0,0.0,1.0,28.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
9800,0,395000,2.0,85.0,0,0.0,1.0,28.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
9031,0,349000,2.0,118.0,0,0.0,1.0,9.0,0.0,0.0,2757.377881205674,3.0,0,1.0,3.0,3.0
9890,0,421000,3.0,146.0,0,0.0,1.0,11.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,3.0
8800,0,250000,2.0,110.0,0,0.0,1.0,18.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
8800,0,230000,2.0,104.0,0,0.0,1.0,17.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
8730,1,259000,4.0,161.0,0,0.0,0.0,0.0,1.0,402.07499802011563,415.0,2.976151101053181,0,0.9500049014802471,2.0,3.0
9000,0,420000,2.0,103.0,0,0.0,1.0,31.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9000,0,424000,2.0,103.0,0,0.0,1.0,31.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9000,0,435000,2.0,103.0,0,0.0,1.0,31.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9000,0,285800,1.0,76.0,0,0.0,1.0,25.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9000,0,432000,2.0,103.0,0,0.0,1.0,31.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9000,0,365000,3.0,101.0,0,0.0,1.0,13.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9000,0,215000,1.0,60.0,0,0.0,1.0,10.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9000,0,220000,1.0,60.0,0,0.0,1.0,11.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9000,0,310000,2.0,90.0,0,0.0,1.0,27.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9000,0,320000,2.0,90.0,0,0.0,1.0,11.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9051,0,365000,3.0,101.0,0,0.0,1.0,13.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9051,0,215000,1.0,60.0,0,0.0,1.0,10.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
